32768.- ALARCON ZEGARRA, ADOLFO 6.08
32884.- LOPEZ LAMBEA, JESUS 7.16
32885.- LOPEZ LAINA, JESUS 7.16
32886.- LOPEZ LABRADOR, JESUS 7.16
32887.- LOPEZ JURADO, JESUS 7.16
32888.- LOPEZ JUARISTI, JESUS 7.16
32889.- LOPEZ JIMENEZ, JESUS 7.16
32890.- LOPEZ JIMENEZ, JOAQUIN 0.25
32891.- LOZANO IBARRA, JORGE 7.08
32892.- MADRIGAL HUMANES, JOSE 5.16
32893.- MALDONADO HIDALGO, JOSE 5.16
32894.- MARINAS HERRAIZ, JOSE 5.16
32895.- MARISCAL HERNANZ, JOSE 5.16
32896.- MARTIN HERNANDEZ, JOSE 5.16
32897.- MARTIN HERNANDEZ, JOSEFINA 5.00
32898.- MARTINEZ HERNANDEZ, JOSE 5.00
32899.- MARTINEZ GUTIERREZ, JOSE 5.00
32900.- MEDRANO GUERRERO, JOSE 5.00
32901.- MELLADO GUERRERO, JOSE 5.00
32902.- MERINO GRACIA, JOSE 5.00
32903.- MIGUEL GONZALEZ, JOSE 5.00
32904.- MIGUEL GONZALEZ, JOSE 5.00
32905.- MONDEJAR GONZALEZ, JOSE 5.00
32906.- MONTEAGUDO GONZALEZ, JOSE 5.00
32907.- MONTERDE GONZALEZ, JOSE 5.00
32908.- MORALES GONZALEZ, JOSE 5.00
32909.- MORALES GONZALEZ, JOSE 5.00
32910.- MORENO GONZALEZ, JOSE 5.00
32911.- NEBREDA GOMEZ, JOSE 5.00
32912.- NOGUERAS GOMEZ, JUAN 5.91
32913.- OCAÑA GARCIA, JUAN 3.99
32914.- OLIVA GARCIA, JUAN 3.99
32915.- OLMEDA GARCIA, JUAN 3.99
32916.- ORDOÑEZ GARCIA, JUAN 3.99
32917.- ORTEGA GARCIA, JUAN 3.99
32918.- OVEJERO GARCIA, JUAN 3.99
32919.- PALACIOS GARCIA, JUAN 3.99
32920.- PASCUAL GARCIA, JUAN 3.99
32921.- PASTOR GARCIA, KATIA 3.99
32922.- PEON GARCIA, LETICIA 3.99
32923.- PERAN GALLEGO, LIVIA 5.00
32924.- PEREZ GALLARDO, LORENA 1.91
32925.- PEREZ GALAN, LOURDES 5.58
32926.- PEREZ GAJARDO, LUIS 5.00
32927.- PEREZ FRESNO, LUIS 2.00
32928.- PEREZ FERRER, LUIS 3.25
32929.- PEREZ FERNANDEZ, LUIS 3.25
32930.- PINILLA FERNANDEZ, MANUEL 3.24
32931.- PIÑERO FERNANDEZ, MANUEL 5.66
32932.- PRIETO FERNANDEZ, MARCOS 5.66
32933.- RAMAYO ESPINOSA, MARIA 5.99
32934.- RAMON ESPARZA, MARIA 3.74
32935.- RANCAÑO ESCRIBANO, MARIA 3.74
32936.- RECIO ESCAMILLA, MARIA 3.74
32937.- REDONDO ENCABO, MARIA 3.74
32938.- REDONDO DURAN, MARIA 3.74
32939.- REGULEZ DIAZ, MARIO 6.41
32940.- REMEDIOS DIAZ, MARTA 5.33
32941.- REQUENA DIANA, MIGUEL 5.00
32942.- RIDRUEJO DELGADO, MIGUEL 5.00
32943.- RIO DE, MIGUEL 5.00
32944.- RIVERO DE, MIGUEL 5.00
32945.- RIVIER DE, MIGUEL 5.00
32946.- ROBLES CUERO, MIRIAM 6.16
32947.- RODRIGUEZ CRISTOBAL, MONICA 0.41
32948.- RODRIGUEZ CRISENTI, MONICA 5.00
32949.- RODRIGUEZ COYA, NOELIA 1.91
32950.- RUANO CLEMENTE, NOELIA 3.16
32951.- RUIPEREZ CERDEIRAS, NURIA 4.16
32952.- RUIZ CARRION, OLGA 8.33
32953.- RUIZ CARBAJO, OLIVIA 3.66
32954.- RUIZ CAÑIBANO, OLIVIA 7.33
32955.- RUIZ CAÑADAS, OSCAR 6.75
32956.- RUIZ CANO, PABLO 5.83
32957.- RUIZ CALVO, PABLO 4.08
32958.- SAAVEDRA CABALLERO, PABLO 5.08
32959.- SANCHEZ BUSTOS, PEDRO 5.08
32960.- SANCHEZ BODAS, PEDRO 5.08
32961.- SANCHEZ BLANCO, PILAR 6.50
32962.- SANCHEZ BERENGUER, PURIFICACION 5.00
32963.- SANCHEZ BENITEZ, RAFAEL 4.08
32964.- SANCHEZ BEJARANO, RAFAEL 6.66
32965.- SANCHEZ BASCON, RAFAEL 6.66
32966.- SANCHEZ BARRAGAN, RAMON 6.66
32967.- SANCHO BARIEGO, RAQUEL 9.49
32968.- SANGUINO BAREA, RAUL 2.83
32969.- SANTIAGO BARBAS, RAUL 2.83
32970.- SANTOLAYA BAEZA, REBECA 0.83
32971.- SANZ AZURMENDI, ROBERTO 3.16
32972.- SECO ASENSIO, ROBERTO 5.99
32973.- SERNA ARROYO, SAMUEL 7.99
32974.- SORIANO ARROYO, SANDRA 5.33
32975.- SUAREZ ARROYO, SEBASTIAN 5.08
32976.- TALLANTE ARCAS, SERGIO 5.16
32977.- TAMAYO ANGULO, SERGIO 5.16
32978.- TATO AMBITE, SILVIA 6.66
32979.- TEJADA AMANTE, SUSANA 2.50
32980.- TORRE ALVAREZ, VICTOR 7.99
32981.- UCEDA ALONSO, VICTOR 4.08
32982.- VALLEJO ALCANTARILLA, VICTOR 2.25
32983.- VILLEGAS AGUILAR, VICTORIA 0.41
32984.- YAGUE ACEITUNO, VICTORIANO 0.41
